BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2442596 0.378792161975982 2442596 0.378800659951334 -11420.1605261026 3.80935551290706e-05
2442606 0.37827578471437 2442606 0.378284127645752 -8847.10572995967 2.95107681793638e-05
2442616 0.37768254215506 2442616 0.377690730043664 -6767.95853979834 2.25754796666644e-05
2442626 0.377029126639599 2442626 0.377037159486357 -5184.61736349115 1.72940219980156e-05
2442636 0.376333148980106 2442636 0.376341026785679 -4171.86532830104 1.39158448352328e-05
2442646 0.375614965711941 2442646 0.375622688476672 -3778.23932256958 1.260284981075e-05
2442656 0.374894581561144 2442656 0.374902149285069 -3972.86221014427 1.32520418847371e-05
2442666 0.374192368241395 2442666 0.374199780924231 -4807.78628768455 1.60370488295758e-05
2442676 0.373529551557236 2442676 0.373536809198372 -6249.35464686107 2.08456032835258e-05
2442686 0.37292507946618 2442686 0.372932182064712 -8241.56533259294 2.74909028318282e-05
2442696 0.372397391910843 2442696 0.37240433946558 -10788.7243852102 3.59873108789488e-05
2442706 0.371963267686681 2442706 0.371970060196172 -13777.094248862 4.59554397758133e-05
2442716 0.371635717243556 2442716 0.37164235470615 -17131.050790569 5.71430345674973e-05
2442726 0.37142607759554 2442726 0.371432560009406 -20790.7253741969 6.93503949795726e-05
2442736 0.371341599412652 2442736 0.371347926775852 -24589.9671020549 8.20233012734928e-05
2442746 0.371385138621579 2442746 0.371391310932127 -28446.2035490055 9.48863214864648e-05
2442756 0.371556876504553 2442756 0.371562893760462 -32243.3631300019 0.000107552282486045
2442766 0.371851606341227 2442766 0.371857468540589 -35814.4907017959 0.000119464281859272
2442776 0.372260406931986 2442776 0.372266114073033 -39094.4141915267 0.000130404928970984
2442786 0.372783048058194 2442786 0.37278860013916 -41948.2476019183 0.000139924292564819
2442796 0.373379782944743 2442796 0.37338517996448 -44266.6915825261 0.00014765778925141
2442806 0.374043876445831 2442806 0.374049118403294 -46026.7551958896 0.000153528729518237
2442816 0.374754961176821 2442816 0.374760048071282 -47124.5208135302 0.000157190481468117
2442826 0.375490223614755 2442826 0.375495155445839 -47545.7360864022 0.000158595504381909
2442836 0.376227720977162 2442836 0.376232497744834 -47315.327852205 0.000157826945240247
2442846 0.37694490329985 2442846 0.376949525004425 -46395.3249721719 0.000154758145957667
2442856 0.377619819700034 2442856 0.377624286342168 -44864.4660162194 0.000149651750132485
2442866 0.378233430162629 2442866 0.378237741743272 -42777.5139606554 0.000142690427391123
2442876 0.378767503853041 2442876 0.378771660373426 -40169.0838159294 0.000133989640979992
2442886 0.379206960180428 2442886 0.379210961642023 -37175.8459275867 0.000124005274100614
2442896 0.379540407784031 2442896 0.379544254188478 -33856.7504161149 0.00011293396318901
2442906 0.379758288167914 2442906 0.379761979517007 -30303.5291421108 0.00010108169279599
2442916 0.379855588152207 2442916 0.379859124447814 -26663.9813753782 8.89414682185841e-05
2442926 0.379830542585852 2442926 0.379833923829871 -22986.49705382 7.66747009153246e-05
2442936 0.379683851562719 2442936 0.379687077757035 -19395.1093971339 6.46951211732416e-05
2442946 0.379420903207643 2442946 0.37942397435406 -16008.1112451075 5.33973114330566e-05
2442956 0.379049202858448 2442956 0.379052118958651 -12863.4530448619 4.29078607603328e-05
2442966 0.378579024250506 2442966 0.378581785306022 -10090.2958450945 3.36576040385062e-05
2442976 0.378024388682472 2442976 0.378026994694612 -7751.54873395127 2.58563833982484e-05
2442986 0.377400170813609 2442986 0.37740262178345 -5880.15157819677 1.96140744080919e-05
2442996 0.376723890338605 2442996 0.376726186266956 -4581.581460291 1.52825107437859e-05
2443006 0.376015029775547 2443006 0.376017170662912 -3854.35231653194 1.28567354303888e-05
2443016 0.375292814791967 2443016 0.375294800638553 -3724.98488211819 1.24252121183055e-05
2443026 0.374578344282256 2443026 0.374580175087943 -4245.57386313554 1.41617100425373e-05
2443036 0.373892350831227 2443036 0.373894026595574 -5355.38613648519 1.78636453105341e-05
2443046 0.373254346534579 2443046 0.373255867256842 -7062.36506086632 2.35575141148692e-05
2443056 0.372684166424348 2443056 0.372685532103474 -9340.82944564472 3.11576532243674e-05
2443066 0.372198843424554 2443066 0.372200054059229 -12085.7490303972 4.03137194011638e-05
2443076 0.371813299984672 2443076 0.371814355573348 -15271.0477771671 5.09387323451849e-05
2443086 0.371540679275955 2443086 0.371541579816881 -18787.3144248321 6.2667735373223e-05
2443096 0.371389425035484 2443096 0.371390170526779 -22508.7433243666 7.50810860103979e-05
2443106 0.371365216110366 2443106 0.37136580655006 -26370.6470929523 8.79630103735041e-05
2443116 0.371470015188407 2443116 0.371470450574498 -30205.790130994 0.000100755670547903
2443126 0.371700495094747 2443126 0.371700775425288 -33900.9043145601 0.000113081244740854
2443136 0.372050581766531 2443136 0.372050707039667 -37368.820165261 0.000124648966870478
2443146 0.372521237956619 2443146 0.372521208170481 -40440.9885572767 0.000134896617570268
2443156 0.37307461801522 2443156 0.373074433168525 -43054.0687527422 0.000143612914881075
2443166 0.373705832770771 2443166 0.373705492862312 -45128.9159280789 0.000150533860088231
2443176 0.374394700773985 2443176 0.374394205802869 -46558.3474067634 0.000155301930266583
2443186 0.375119637705092 2443186 0.375118987670758 -47352.1076579088 0.000157949629466358
2443196 0.375858898772837 2443196 0.375858093675064 -47464.8300647966 0.000158325630942979
2443206 0.376589127894464 2443206 0.376588167733392 -46886.4007094441 0.000156396198297437
2443216 0.377288594181165 2443216 0.377287478957271 -45691.8883251073 0.000152411733870594
2443226 0.377936851884807 2443226 0.377935581598885 -43878.4641283381 0.000146362801856537
2443236 0.378514299703009 2443236 0.378512874356157 -41527.2646069453 0.000138520044446699
2443246 0.379005129888673 2443246 0.379003549482233 -38744.63561123 0.00012923819321442
2443256 0.379395550905812 2443256 0.379393815441342 -35566.094051425 0.000118635719819959
2443266 0.37967459901892 2443266 0.379672708498146 -32129.3172024416 0.000107171866219669
2443276 0.379835840086562 2443276 0.379833794511311 -28532.6348353359 9.5174625224681e-05
2443286 0.379874913535986 2443286 0.379872712908152 -24842.1886068493 8.28646216538553e-05
2443296 0.379791422742588 2443296 0.379789067064073 -21210.0242862624 7.07490256017795e-05
2443306 0.379588929185554 2443306 0.379586418458201 -17701.204527838 5.90448627224571e-05
2443316 0.379272833082742 2443316 0.379270167308314 -14403.6173292244 4.80452958200317e-05
2443326 0.378852716806485 2443326 0.378849895986594 -11446.5959089115 3.81817340745494e-05
2443336 0.378340701070244 2443336 0.378337725206316 -8856.56904173894 2.95423343896761e-05
2443346 0.377750482869673 2443346 0.377747351962919 -6728.74518901825 2.24446780079379e-05
2443356 0.377099250737071 2443356 0.377095964788438 -5141.06803430461 1.71487570721496e-05
